Name,Xpath,Simplified,
Tan,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Dielectric Loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Temperature,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Temperature,
Tan delta,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
tangent delta,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Dielctric Loss Factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
dissipation factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Loss Tangent,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Dissipation Factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
tan del (%),properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
dielectric loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Dielectric Loss Tangent,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
frequency,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Frequency,
temperature/C,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Temperature,
Tan del (%),properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Dissipation factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Loss factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Effective dielectric loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
dielectric loss tangent,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Frequenc,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Frequency,
freq/Hz,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Frequency,
loss tangent,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Tan ?,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Frequency,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Frequency,
Loss tangent,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Tan Delta,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,"curation error, ignore this row"
"Temperature, C",properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Temperature,
Dielectric Loss Factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
"dielectric loss, tangent",properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
loss factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
tan delta,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
f,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Frequency,
loss tanget,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Dielectric loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
Effective dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent,Tan Delta,
the product of epsilon and omega,properties/electrical/electricconductivity,,
Applied Flux Density,properties/electrical/electricconductivity,,
volume content of the samples,properties/electrical/electricconductivity,Volume Fraction,
Electric field,properties/electrical/electricconductivity,Electric Field,
AC conductivity,properties/electrical/electricconductivity,Conductivity,
ln,properties/electrical/electricconductivity,,
Differential of Imaginary Magnetic Susceptibility,properties/electrical/electricconductivity,,
f,properties/electrical/electricconductivity,Frequency,
the product of static dielectric constant and frequency,properties/electrical/electricconductivity,,
Electric Field,properties/electrical/electricconductivity,Electric Field,
Frequency,properties/electrical/electricconductivity,Frequency,
electric field,properties/electrical/electricconductivity,Electric Field,
freq/Hz,properties/electrical/electricconductivity,Frequency,
1000/T,properties/electrical/electricconductivity,1000/Temperature,
CNT (vol. %),properties/electrical/electricconductivity,Percent,
relative density,properties/electrical/electricconductivity,Density,
natural log of conductivity,properties/electrical/electricconductivity,Conductivity,
position in sample,properties/electrical/electricconductivity,,
sigma,properties/electrical/electricconductivity,,
Log f,properties/electrical/electricconductivity,Frequency,
Volume fraction of MWNTs,properties/electrical/electricconductivity,,
CNF conten,properties/electrical/electricconductivity,,
DC conductivity,properties/electrical/electricconductivity,Conductivity,
Natural Log of Conductivity,properties/electrical/electricconductivity,Conductivity,
conductivity,properties/electrical/electricconductivity,Conductivity,
Electric conductivity,properties/electrical/electricconductivity,Conductivity,
Conductivity,properties/electrical/electricconductivity,Conductivity,
1/T,properties/electrical/electricconductivity,1/Temperature,
Ac conductivity,properties/electrical/electricconductivity,Conductivity,
electric field strength relative to applied field,properties/electrical/electricconductivity,Electric Field,
T,properties/electrical/electricconductivity,Temperature,
DC conduction rate,properties/electrical/electricconductivity,Conductivity,
transverse electrical conductivit,properties/electrical/electricconductivity,Conductivity,
Square Root Current,properties/electrical/electricconductivity,,
Log,properties/electrical/electricconductivity,,
lo,properties/electrical/electricconductivity,,
Real part of Conductivity,properties/electrical/electricconductivity,Conductivity,
Square root of Electric Field,properties/electrical/electricconductivity,Electric Field,
DC conductivity rate,properties/electrical/electricconductivity,Conductivity,
Electrical conductivity,properties/electrical/electricconductivity,Conductivity,
probability distribution function,properties/electrical/electricconductivity,,
AC Conductivity,properties/electrical/electricconductivity,Conductivity,
Tg/T,properties/electrical/electricconductivity,,
reduced conductivity,properties/electrical/electricconductivity,Conductivity,
AC Electrical Impedance,properties/electrical/electricconductivity,Impedance,
comparative ac conductivity at 160 C,properties/electrical/electricconductivity,Conductivity,
frequency,properties/electrical/electricconductivity,Frequency,
Electric Conductivity,properties/electrical/electricconductivity,Conductivity,
,characterization/xray_diffraction_and_scattering,,
Angle 2q,characterization/xray_diffraction_and_scattering,Angle,
Intensity,characterization/xray_diffraction_and_scattering,Intensity,
I,characterization/xray_diffraction_and_scattering,Intensity,
Angle,characterization/xray_diffraction_and_scattering,Angle,
"Scattering vector, q",characterization/xray_diffraction_and_scattering,Scattering Vector,
"Concentration normalized Intensity, I",characterization/xray_diffraction_and_scattering,Intensity,
q,characterization/xray_diffraction_and_scattering,Scattering Vector,
Linear Intensity,characterization/xray_diffraction_and_scattering,Intensity,
