file,xPath,yRaw_header,yName,stdYName
L240_S1_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant at 1 kHz,Dielectric Constant at 1 kHz,Dielectric Real Permittivity
L240_S7_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant at 1 kHz,Dielectric Constant at 1 kHz,Dielectric Real Permittivity
L240_S8_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant at 1 kHz,Dielectric Constant at 1 kHz,Dielectric Real Permittivity
L240_S9_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant at 1 kHz,Dielectric Constant at 1 kHz,Dielectric Real Permittivity
L241_S1_Ma_2004.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,Log(-ln(1-P)),Log,
L241_S4_Ma_2004.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,Log(-ln(1-P)),Log,
L241_S6_Ma_2004.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,Log(-ln(1-P)),Log,
L241_S7_Ma_2004.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,Log(-ln(1-P)),Log,
L243_S1_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,prob failure,prob failure,
L243_S1_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,prob failure,prob failure,
L243_S1_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,strength (MV/cm),Strength,
L243_S2_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,prob failure,prob failure,
L243_S2_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,prob failure,prob failure,
L243_S2_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,strength (MV/cm),Strength,
L243_S2_Hu_2006.xml,PROPERTIES/Electrical/ElectricConductivity/data,electric field (MV/m),Electric field,Electric Field
L243_S3_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,prob failure,prob failure,Probability of Failure
L243_S3_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,prob failure,prob failure,Probability of Failure
L243_S3_Hu_2006.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,strength (MV/cm),Strength,
L243_S3_Hu_2006.xml,PROPERTIES/Electrical/ElectricConductivity/data,electric field (MV/m),Electric field,Electric Field
L244_S1_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L244_S1_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Relative Permittivity,Imaginary Relative Permittivity,Relative Dielectric Loss Permittivity
L244_S2_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L244_S2_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Relative Permittivity,Imaginary Relative Permittivity,Relative Dielectric Loss Permittivity
L244_S3_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L244_S3_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Relative Permittivity,Imaginary Relative Permittivity,Relative Dielectric Loss Permittivity
L244_S4_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L244_S4_Smith_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Relative Permittivity,Imaginary Relative Permittivity,Relative Dielectric Loss Permittivity
L245_S10_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S11_Wang_2012.xml,PROPERTIES/Electrical/CurrentDensity/data,Current (A),Current,Current Density
L245_S1_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric constant,Dielectric constant,Dielectric Real Permittivity
L245_S1_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Dielectric Loss Factor,Dielectric Loss Factor,
