file,xPath,occurrence,xRaw_header,xName,stdXName,xUnit,stdXUnit,xUnitType,yRaw_header,yName,stdYName,yUnit,stdYUnit,yUnitType
L101_S10_Dang_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,5,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric Permittivity,Dielectric Permittivity,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L101_S10_Dang_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,24,Frequency (Hz),Frequency,,Hz,,,Loss Tangent,Loss Tangent,,,,
L101_S12_Dang_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,2,Temperature (C),Temperature,Temperature,C,,Temperature,Dielectric Permittivity,Dielectric Permittivity,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L101_S12_Dang_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,2,Temperature (C),Temperature,,C,,,Loss Tangent,Loss Tangent,,,,
L101_S4_Dang_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric permittivity,Dielectric Permittivity,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L103_S1_Dey_2004.xml,PROPERTIES/Electrical/ElectricConductivity/data,4,T (K),T,Temperature,K,,Temperature,conductivity (S cm^-1),Conductivity,Conductivity,S cm^-1,,Conductivity
L103_S4_Dey_2004.xml,PROPERTIES/Electrical/DC_DielectricConstant/data,1,frequency (Hz),Frequency,,Hz,,,real part dielectric constant,real part dielectric constant,,dimensionless,,
L103_S4_Dey_2004.xml,PROPERTIES/Electrical/DC_DielectricConstant/data,6,frequency (Hz),Frequency,,Hz,,,real part of the dielectric constant,real part of the dielectric constant,,dimensionless,,
L103_S4_Dey_2004.xml,PROPERTIES/Electrical/ElectricConductivity/data,9,frequency (Hz),Frequency,Frequency,Hz,,Frequency,conductivity (S cm^-1),Conductivity,Conductivity,S cm^-1,,Conductivity
L104_S10_He_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,11,frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric Permittivity,Dielectric permittivity,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L104_S10_He_2009.xml,PROPERTIES/Electrical/ElectricConductivity/data,12,frequency (Hz),Frequency,Frequency,Hz,,Frequency,Conductivity (S/m),Conductivity,Conductivity,S/m,,Conductivity
L105_S10_Qi_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,9,Frequency (kHz),Frequency,Frequency,kHz,,Frequency,Relative Dielectric Constant,Relative Dielectric Constant,Relative Dielectric Real Permittivity,dimensionless,,Relative Dielectric Real Permittivity
L105_S10_Qi_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,9,Frequency (kHz),Frequency,,kHz,,,Tan Delta,Tan Delta,,dimensionless,,
L105_S1_Qi_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,1,Temperature (Deg. Celcius),Temperature,Temperature,Celcius,,Temperature,Relative Dielectric Constant,Relative Dielectric Constant,Relative Dielectric Real Permittivity,dimensionless,,Relative Dielectric Real Permittivity
L105_S2_Qi_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,Frequency(kHz),Frequency,,kHz,,,Tan Delta,Tan Delta,,dimensionless,,
L105_S4_Qi_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,1,Frequency (kHz),Frequency,Frequency,kHz,,Frequency,Relative Dieletric Constant,Relative Dielectric Constant,Relative Dielectric Real Permittivity,dimensionless,,Relative Dielectric Real Permittivity
L105_S4_Qi_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,3,Temperature (deg. Celcius),Temperature,Temperature,Celsius,,Temperature,Relative Dielectric Constant,Relative Dielectric Constant,Relative Dielectric Real Permittivity,dimensionless,,Relative Dielectric Real Permittivity
L106_S10_Shen_2007.xml,PROPERTIES/Electrical/CurrentDensity/data,6,Electric field (kV/cm),Electric field,Electric Field,kV/cm,,Electric Field,Current density (A/cm^2),Current density,Current Density,A/cm^2,,Current Density
L106_S13_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,2,f,f,Frequency,dimensionless,,Frequency,K,K,,dimensionless,,
L106_S13_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,2,f,f,,dimensionless,,,tan del (%),Tan del,,%,,
L106_S13_Shen_2007.xml,PROPERTIES/Electrical/ElectricConductivity/data,2,f,f,Frequency,dimensionless,,Frequency,sigma (S/cm),Sigma,,S/cm,,
L106_S1_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,7,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,K,K,,dimensionless,,
L106_S1_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,7,Frequency (Hz),Frequency,,Hz,,,Tan del (%),Tan del,,%,,
L106_S1_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,5,Temperature (C),Temperature,Temperature,C,,Temperature,K,K,,dimensionless,,
L107_S10_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,25,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L107_S10_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,5,Frequency (Hz),Frequency,,Hz,,,Dielectric loss,Dielectric loss,,,,
L107_S15_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,5,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L107_S15_Shen_2007.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,4,Electric Field (V/cm),Electric field,,V/cm,,,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L110_S10_Singha_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,10,AC Dielectric Strength [kV/mm],AC dielectric strength,,kV/mm,,,Failure Probability [%],Failure probability,,%,,
L110_S11_Singha_2008.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,10,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Permittivity,Relative Permittivity,,,,
L110_S11_Singha_2008.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,10,Frequency (Hz),Frequency,,Hz,,,tan delta,Tan Delta,,,,
L110_S12_Singha_2008.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,tan delta,Tan Delta,Tan Delta,,,Tan Delta
L111_S1_Singha_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,5,Frequency (Hz),Frequency,Frequency,Hertz,,Frequency,Relative permittivity (Real part),Relative permittivity [real part],,,,
L111_S1_Singha_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,Frequency(Hz),Frequency,,Hertz,,,Tan Delta,Tan Delta,,,,
L111_S1_Singha_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,5,Frequency (Hz),Frequency,Frequency,Hertz,,Frequency,Permittivity [real part],Relative permittivity [real part],,,,
L111_S1_Singha_2009.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,1,AC Dielectric Strength (kV/mm),AC Dielectric Strength,,kV/mm,,,Percent,Percent,,,,
L111_S2_Singha_2009.xml,MATERIALS/Filler/FillerComponent/SphericalParticleDiameter/data,6,Nanoparticle size (nm),Nanoparticle size,,nanometers,,,Frequency,Frequency,Frequency,,,Frequency
L111_S2_Singha_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,4,Frequency (Hertz),Frequency,,Hertz,,,Tan Delta,Tan Delta,,,,
L111_S2_Singha_2009.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,6,AC Dielectric Strength (kV/mm),AC Dielectric strength - ASTMD149 50Hz,,kV/mm,,,Percent,Percent,,,,
L113_S11_Xu_2004.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,13,Temperature (C),Temperature,Temperature,Celsius,,Temperature,Storage Modulus (MPa),Storage Modulus,Storage Modulus,MPa,,Storage Modulus
L113_S11_Xu_2004.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,9,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric Constant,Dielectric Constant,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L113_S11_Xu_2004.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,2,Frequency (Hz),Frequency,,Hz,,,Dissipation Factor,Dissipation Factor,,,,
L113_S1_Xu_2004.xml,CHARACTERIZATION/Differential_Scanning_Calorimetry/HeatingRate/data,2,Temperature (C),Temperature,Temperature,Celsius,,Temperature,Heat Flow (W/g),Heat Flow,Heat Flow,W/g,,Heat Flow
L114_S17_Hong_2006.xml,PROPERTIES/Electrical/CurrentDensity/data,3,Electric field (kV/cm),Electric field,Electric Field,kV/cm,,Electric Field,Current (A/cm^2),Current,Current Density,A/cm^2,,Current Density
L118_S10_Fidelus_2005.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,10,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,E' (MPa),E',Storage Modulus,MPa,,Storage Modulus
L118_S10_Fidelus_2005.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,10,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,tan delta,Loss factor,Tan Delta,tan delta,,Tan Delta
L119_S1_Jin_2001.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,24,Temperature (C ),Temperature,Temperature,celsius,,Temperature,Storage Modulus (Mpa),Storage Modulus,Storage Modulus,MPa,,Storage Modulus
